Fecha_Hora,Velocidad (m/s),Dirección (grados),Comp N-S,Comp E-O,Avg Comp N-S,Avg Comp E-O,Avg Wind Speed,Avg Wind Direction
2024-11-06 16:20:00,0.03,13.2,0.01,-0.03,0.01,-0.03,0.03,166.35
2024-11-06 16:30:00,0.14,23.74,-0.07,0.09,-0.07,0.09,0.12,-37.77
2024-11-06 16:40:00,0.06,16.32,-0.01,-0.0,-0.01,-0.0,0.01,-113.71
2024-11-06 16:50:00,0.22,37.42,-0.09,0.19,-0.09,0.19,0.21,-25.11
2024-11-06 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06 18:00:00,0.06,29.75,0.04,-0.04,0.04,-0.04,0.06,135.97
2024-11-06 18:10:00,0.47,131.32,0.39,-0.24,0.39,-0.24,0.46,121.24
2024-11-06 18:20:00,0.08,24.45,0.07,-0.03,0.07,-0.03,0.08,116.47
2024-11-06 18:30:00,0.11,27.06,0.1,-0.03,0.1,-0.03,0.11,105.48
2024-11-06 18:40:00,0.08,24.92,0.07,-0.03,0.07,-0.03,0.08,111.27
2024-11-06 18:50:00,0.0,0.31,0.0,0.0,0.0,0.0,0.0,90.0
2024-11-06 19:00:00,0.01,0.61,0.0,0.0,0.0,0.0,0.0,43.6
2024-11-06 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06 19:20:00,0.02,2.18,0.0,0.01,0.0,0.01,0.01,18.63
2024-11-06 19:30:00,0.04,12.16,0.04,-0.01,0.04,-0.01,0.04,110.66
2024-11-06 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06 19:50:00,0.01,3.21,0.0,-0.0,0.0,-0.0,0.01,133.98
2024-11-06 20:00:00,0.04,12.44,0.04,-0.01,0.04,-0.01,0.04,108.1
2024-11-06 20:10:00,0.19,49.29,0.17,-0.05,0.17,-0.05,0.18,106.83
2024-11-06 20:20:00,0.07,8.87,0.03,0.06,0.03,0.06,0.06,25.06
2024-11-06 20:30:00,0.06,4.36,0.05,-0.01,0.05,-0.01,0.05,97.07
2024-11-06 20:40:00,0.06,9.05,0.05,0.01,0.05,0.01,0.05,79.17
2024-11-06 20:50:00,0.08,26.71,0.07,-0.03,0.07,-0.03,0.08,115.2
2024-11-06 21:00:00,0.17,38.8,0.15,-0.02,0.15,-0.02,0.15,98.97
2024-11-06 21:10:00,0.1,32.72,0.08,-0.05,0.08,-0.05,0.09,122.43
2024-11-06 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2024-11-06 21:30:00,0.13,17.31,0.13,-0.02,0.13,-0.02,0.13,98.9
2024-11-06 21:40:00,0.17,63.67,0.15,-0.06,0.15,-0.06,0.16,112.82
2024-11-06 21:50:00,0.18,50.06,0.16,-0.06,0.16,-0.06,0.17,109.14
2024-11-06 22:00:00,0.02,12.13,0.02,-0.01,0.02,-0.01,0.02,122.71
2024-11-06 22:10:00,0.03,13.24,0.03,-0.01,0.03,-0.01,0.03,115.97
2024-11-06 22:20:00,0.42,187.57,0.31,-0.26,0.31,-0.26,0.4,130.57
2024-11-06 22:30:00,0.34,154.38,0.16,-0.28,0.16,-0.28,0.32,149.41
2024-11-06 22:40:00,0.27,106.22,0.22,-0.16,0.22,-0.16,0.27,125.96
